gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,-0.44031528592635544,0,0,0.6349479846893362,1,2,2,1,1,1,1,1,1,1,0,0,-1.3424323957151836,-0.47875237954768735,0
1,-0.44031528592635544,0,0,-1.2821194970342338,1,2,0,0,2,0,0,0,0,0,0,2,-0.3525297341297692,-0.9843478089085534,0
1,-0.44031528592635544,1,1,1.613876060463074,1,2,0,2,2,2,2,2,2,2,0,1,0.825371248059262,1.7796823511688995,0
0,-0.44031528592635544,1,1,1.5730873906391682,1,0,0,2,0,2,0,2,2,2,0,1,0.421091673663874,1.4432710749634505,0
0,2.2710998958306754,1,0,1.4915100509913568,1,2,1,0,2,0,2,2,2,2,0,1,1.3477736610640019,2.0697845779143393,0
1,-0.44031528592635544,0,0,-1.2821194970342338,1,0,2,1,1,1,1,1,1,0,0,3,-1.4938292733694234,-0.9994323330916333,0
0,-0.44031528592635544,0,0,-0.7110781194995532,1,0,1,2,0,2,2,2,2,0,0,2,1.337791449350535,-0.3121629404645785,1
0,-0.44031528592635544,0,0,1.5322987208152625,0,1,0,2,2,2,2,0,0,2,1,0,-0.6752879128651815,0.33669149043093055,0
0,-0.44031528592635544,1,1,-1.1189648177386107,1,0,1,0,2,0,0,0,2,0,1,2,0.6223996098854456,-0.8304680709592932,1
0,-0.44031528592635544,1,1,-0.017670732493155674,1,2,1,2,0,0,0,2,0,0,0,2,0.8220438441547729,0.26793156751476355,0
0,2.2710998958306754,1,1,0.5533706450415247,1,2,1,2,2,0,2,2,2,0,1,2,1.5074890484794634,1.1784123376672457,0
1,-0.44031528592635544,0,0,-0.915021468619082,1,2,2,1,1,1,1,1,1,2,0,0,-1.3041672508135624,-0.897578811202383,0
1,-0.44031528592635544,1,1,-0.18082541178877864,1,2,0,0,2,0,0,0,2,0,0,2,-0.01646193977640131,-0.21567475953840612,0
1,2.2710998958306754,1,0,0.10469527697856156,1,2,1,0,0,2,0,2,2,0,1,2,1.1947130814575173,0.503522809639424,0
1,2.2710998958306754,1,0,0.0639066071546558,1,0,1,0,0,2,0,2,0,0,1,1,0.6756380723572665,0.2559035285524534,0
0,-0.44031528592635544,1,1,-0.09924807214096716,1,0,2,1,1,1,1,1,1,2,0,3,-1.517121100700845,-0.7430833783885072,0
0,-0.44031528592635544,1,0,0.512581975217619,1,0,1,0,0,0,2,2,2,2,1,1,1.0083784628061454,0.8765899193918033,0
1,-0.44031528592635544,1,1,-0.915021468619082,1,2,2,1,1,1,1,1,1,0,1,3,-1.3474235015719167,-0.8965673124962289,0
0,-0.44031528592635544,1,0,-1.1189648177386107,1,2,0,0,0,2,2,2,0,0,0,0,0.10166089883295057,-0.8541723232469901,1
1,-0.44031528592635544,0,0,-1.1189648177386107,0,1,0,0,2,0,0,2,2,0,1,3,-0.4623340629778991,-0.8736766569939168,1
0,-0.44031528592635544,0,0,-0.8334441289712705,1,0,2,1,1,1,1,1,1,1,0,2,-1.4888381675126903,-0.8935767945823823,0
1,-0.44031528592635544,0,0,-0.05845940231706142,1,0,2,1,1,1,1,1,1,2,0,0,-1.4805196577514683,-0.7403567297023529,0
0,2.2710998958306754,0,0,-1.2821194970342338,1,0,1,0,0,0,0,2,0,0,1,2,0.4759938380879392,-0.9733972359593207,1
0,-0.44031528592635544,0,0,-1.2821194970342338,1,0,1,0,0,0,0,0,0,0,0,3,0.19981931401536993,-0.9770474269423982,1
1,-0.44031528592635544,0,0,-0.017670732493155674,1,0,1,0,0,0,0,2,2,0,0,2,0.8702912007698604,0.2546061715162994,0
1,-0.44031528592635544,1,1,-0.7110781194995532,1,0,2,1,1,1,1,1,1,0,1,2,-1.4938292733694234,-0.8815487556200723,1
1,-0.44031528592635544,0,0,-0.5887121100278361,1,0,1,0,0,0,2,0,0,0,1,0,0.3661895092398093,-0.4043852355430577,0
1,-0.44031528592635544,0,0,0.5533706450415247,1,2,1,0,2,2,0,2,0,1,1,1,0.998396251092679,0.9369060270218147,0
0,-0.44031528592635544,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,0,0,0,0,-0.6902612304353811,-0.9888115966770159,0
0,-0.44031528592635544,1,0,0.3902159657459017,1,0,2,1,1,1,1,1,1,0,0,1,-1.4821833597037126,-0.6256615720654077,0
1,-0.44031528592635544,0,0,-0.4255574307322131,1,2,1,2,0,0,0,2,2,0,1,2,1.193049379505273,-0.08688458732222762,1
0,-0.44031528592635544,1,1,-0.8742327987951762,0,1,0,2,0,0,0,2,2,0,0,2,-0.47730738054809874,-0.7595971942215873,0
0,2.2710998958306754,0,0,-1.2413308272103278,1,2,1,0,0,2,0,0,0,0,1,2,0.4543657127087619,-0.9424585690123916,1
1,2.2710998958306754,0,0,0.2678499562741845,1,2,1,0,0,0,0,2,2,0,1,0,1.023351780376345,0.6449347265802204,1
0,-0.44031528592635544,0,1,-0.8742327987951762,0,1,0,2,0,0,2,0,0,1,1,3,-0.959780946698973,-0.8311717222331395,0
0,2.2710998958306754,1,0,-0.2216140816126844,1,2,0,0,2,2,2,2,2,0,0,2,0.6307181196466676,0.007756509010098129,0
0,-0.44031528592635544,0,0,-1.2413308272103278,1,0,2,1,1,1,1,1,1,0,1,3,-1.4755285518947352,-0.9934512972639399,0
1,-0.44031528592635544,0,0,-1.2005421573864221,1,0,1,0,0,2,2,2,2,0,1,2,1.124837599463253,-0.8790859761616102,1
0,-0.44031528592635544,1,0,1.613876060463074,1,0,2,1,1,1,1,1,1,2,0,1,-1.4771922538469795,-0.34756539517996987,0
0,-0.44031528592635544,1,1,1.613876060463074,1,2,1,0,2,2,2,2,2,2,1,0,1.4742150094345756,2.383129285799015,0
1,-0.44031528592635544,1,1,1.5322987208152625,1,2,1,2,2,0,0,2,2,0,1,2,1.3694017864431787,2.3139075917343863,0
1,-0.44031528592635544,0,0,0.6349479846893362,1,0,2,1,1,1,1,1,1,2,0,1,-1.4888381675126903,-0.5759442117477059,0
0,-0.44031528592635544,1,1,1.613876060463074,1,2,1,2,2,0,0,2,0,2,1,2,1.0050510589016561,2.0012665351235572,0
0,-0.44031528592635544,0,0,-0.8742327987951762,1,0,0,2,0,0,0,0,0,0,0,1,-0.5438554586378745,-0.7878971688915928,1
0,-0.44031528592635544,1,1,0.7573139941610534,1,0,0,2,2,0,2,0,2,1,1,1,0.16155416911374865,0.5584955654086653,0
1,-0.44031528592635544,0,0,-1.2413308272103278,1,0,2,1,1,1,1,1,1,0,0,3,-1.4688737440857575,-0.9887896075747082,0
1,-0.44031528592635544,0,0,1.4915100509913568,1,2,1,2,2,2,0,2,2,2,1,1,1.50249794262273,2.259682465443607,0
0,-0.44031528592635544,1,0,1.5730873906391682,0,1,0,2,2,2,2,2,2,1,0,0,0.06339575393132932,1.053976007707991,0
0,2.2710998958306754,1,1,-0.1400367419648729,0,1,0,0,2,2,0,0,0,0,1,3,-0.9730905623169281,-0.55738540940001,0
1,-0.44031528592635544,1,0,0.0639066071546558,1,2,1,0,2,0,0,0,2,0,0,3,0.797088314871107,0.31122810995861794,0
0,-0.44031528592635544,0,0,-0.915021468619082,1,0,0,0,2,0,0,0,0,0,0,2,-0.45567925516892144,-0.7891065695185161,0
0,-0.44031528592635544,1,1,-0.7926554591473648,1,0,2,1,1,1,1,1,1,2,0,3,-1.4655463401812687,-0.888453333744689,0
0,2.2710998958306754,0,0,-1.2821194970342338,1,2,1,0,0,0,0,0,0,0,1,3,0.3179421526247218,-0.9754862006785519,1
0,-0.44031528592635544,0,0,0.512581975217619,1,2,1,0,0,2,0,0,2,0,1,1,0.8120616324413066,0.8354043307694875,0
1,2.2710998958306754,0,0,-0.9965988082668935,1,0,1,2,0,0,2,2,2,0,0,1,1.1780760619350734,-0.6421753878984879,1
0,-0.44031528592635544,1,0,1.1652006924001108,1,2,2,1,1,1,1,1,1,2,0,0,-1.3174768664315177,-0.3244108704499654,0
1,-0.44031528592635544,1,1,-0.8742327987951762,1,0,2,1,1,1,1,1,1,2,0,3,-1.5054751870351342,-0.9089471770954621,0
0,-0.44031528592635544,1,0,1.2467780320479223,1,2,1,0,2,2,2,2,2,0,1,2,1.459241691864376,2.0138223125412518,0
0,-0.44031528592635544,0,0,0.349427295921996,1,0,0,0,0,0,2,0,0,1,0,0,-0.4939444000705427,-0.11588821326607936,0
0,-0.44031528592635544,0,0,-0.9558101384429878,1,2,1,0,0,0,0,0,0,0,1,1,0.3428976819083877,-0.7294721240600431,0
0,-0.44031528592635544,0,0,-0.2216140816126844,1,0,0,2,2,0,0,0,0,0,1,3,-0.2726720404220381,-0.28129024082457255,0
1,-0.44031528592635544,0,0,-1.0373874780907992,1,2,1,0,2,0,0,2,2,0,1,2,1.1614390424126293,-0.7121447114415782,1
0,-0.44031528592635544,0,0,-1.2413308272103278,1,2,1,0,2,0,0,0,0,0,0,2,0.4876397517536498,-0.941491048510853,0
1,-0.44031528592635544,0,0,-0.46634610055611886,1,0,2,1,1,1,1,1,1,1,1,3,-1.4821833597037126,-0.8223321031054455,0
1,-0.44031528592635544,0,1,0.9612573432805821,1,2,2,1,1,1,1,1,1,2,1,3,-1.3341138859539616,-0.38189038388228413,0
0,-0.44031528592635544,0,1,0.4310046355698075,1,0,0,2,2,0,0,0,2,0,1,2,-0.03143525734660095,0.1954774754109035,0
0,2.2710998958306754,0,0,0.3086386260980903,1,0,1,0,0,0,0,2,2,0,1,2,0.8869282202923043,0.6073553507363669,0
0,2.2710998958306754,0,0,-1.1597534875625164,1,2,1,0,0,2,0,0,2,0,1,2,0.797088314871107,-0.8444311509246805,1
1,-0.44031528592635544,1,1,-0.7518667893234591,1,0,0,2,2,0,0,2,0,0,1,2,0.018475801220730868,-0.5958883275407868,1
1,-0.44031528592635544,0,0,1.3283553716957337,1,2,2,1,1,1,1,1,1,2,0,3,-1.3025035488613181,-0.2804986331414955,0
0,-0.44031528592635544,0,0,-1.2005421573864221,1,2,1,0,0,0,0,0,0,0,1,2,0.33457917214716576,-0.9148182674116171,0
0,2.2710998958306754,1,0,0.3902159657459017,1,0,1,2,0,0,0,0,0,0,1,1,0.3079599409112555,0.4120041658347911,1
0,-0.44031528592635544,0,0,-0.18082541178877864,1,0,0,2,0,0,2,0,0,1,0,3,-0.3525297341297692,-0.3281929960468893,0
0,-0.44031528592635544,0,0,0.349427295921996,1,0,2,1,1,1,1,1,1,2,1,3,-1.4988203792261565,-0.6518066147092589,0
0,2.2710998958306754,0,0,-0.017670732493155674,1,0,1,0,0,0,0,2,2,0,0,2,0.8669637968653718,0.26623840663707077,0
1,-0.44031528592635544,0,1,1.450721381167451,1,2,0,2,2,0,2,2,2,2,1,0,0.7188943231156206,1.5788998579973224,0
1,-0.44031528592635544,1,1,1.0836233527522994,1,2,1,0,0,2,0,2,2,2,1,1,1.151456830699163,1.56966443502809,0
1,-0.44031528592635544,1,0,1.1652006924001108,1,2,1,0,2,2,2,2,2,0,1,2,1.637257800754526,2.128363546462043,0
0,-0.44031528592635544,0,0,-1.078176147914705,1,0,1,0,0,2,2,0,2,0,1,2,0.8103979304890623,-0.7940321284354401,0
0,-0.44031528592635544,1,0,0.023117937330750068,1,0,1,2,0,2,2,2,2,1,1,2,1.2928714966399366,0.46990147221095613,1
0,-0.44031528592635544,1,0,-0.7518667893234591,1,2,0,2,0,0,0,2,0,0,1,0,-0.006479728062935041,-0.5943930685838633,1
1,-0.44031528592635544,1,0,1.124412022576205,1,2,1,0,0,2,0,2,2,2,0,1,1.2063589951232283,1.6601056128196456,0
1,-0.44031528592635544,1,0,1.613876060463074,1,2,1,0,2,0,0,2,2,2,1,2,1.1481294267946744,2.195892079648979,0
0,-0.44031528592635544,0,0,-1.2413308272103278,1,0,0,0,2,0,0,2,0,0,1,2,-0.19614175061879605,-0.9580268534462407,0
1,-0.44031528592635544,0,0,-0.9965988082668935,1,0,0,0,0,0,0,0,0,0,1,3,-0.6569871913904932,-0.8154275249808288,1
0,-0.44031528592635544,1,1,0.6349479846893362,1,0,2,1,1,1,1,1,1,2,0,3,-1.4938292733694234,-0.5966359570192483,0
0,-0.44031528592635544,1,0,1.4915100509913568,1,0,0,0,2,0,0,0,2,2,1,1,-0.11462035495882066,0.8085996150564054,0
1,2.2710998958306754,1,0,1.613876060463074,1,0,1,2,2,0,2,0,0,2,1,1,0.6623284567393112,1.692759429746575,0
1,-0.44031528592635544,1,1,-1.1597534875625164,1,2,1,0,0,2,0,2,2,0,0,2,1.2063589951232283,-0.8385160824039101,1
0,-0.44031528592635544,0,0,-1.2821194970342338,1,0,1,0,0,0,0,0,0,0,0,3,0.2064741218243471,-0.9769594705331675,1
0,-0.44031528592635544,0,0,1.450721381167451,0,1,0,2,0,2,2,0,0,2,0,3,-0.8649499354210425,0.1876273658870557,0
1,2.2710998958306754,0,0,-0.7110781194995532,1,2,1,0,0,0,0,0,0,0,1,1,0.3096236428634998,-0.5095591118807702,1
1,-0.44031528592635544,0,0,0.18627261662637304,1,0,0,2,2,2,2,0,0,2,0,0,0.023466907077463767,0.00933972437625244,0
0,-0.44031528592635544,1,1,1.287566701871828,1,0,2,1,1,1,1,1,1,1,0,0,-1.500484081178401,-0.42039330202306074,0
0,-0.44031528592635544,1,1,0.5533706450415247,1,2,2,1,1,1,1,1,1,1,0,3,-1.3291227800972283,-0.49548608640384434,0
1,-0.44031528592635544,0,1,-0.09924807214096716,1,0,0,0,2,2,0,2,0,1,0,1,-0.013134535871912711,-0.15947061403993382,0
0,2.2710998958306754,1,0,-0.5071347703800245,1,2,1,0,0,2,0,2,0,0,0,2,0.8619726910086385,-0.1502132019683936,1
1,-0.44031528592635544,0,0,-1.2005421573864221,1,0,0,0,0,0,2,2,2,0,1,2,0.14824455349579332,-0.9240756794831574,1
1,-0.44031528592635544,1,0,1.5322987208152625,1,2,0,0,2,2,2,2,0,2,0,1,0.3728443170487865,1.3068946624511164,0
0,-0.44031528592635544,0,0,1.613876060463074,1,2,1,2,0,0,2,0,0,2,1,0,0.6590010528348226,1.711889948754271,0
0,-0.44031528592635544,0,0,-1.1189648177386107,1,2,1,0,0,0,0,0,0,0,0,2,0.35454359557409826,-0.8263121306231386,1
0,-0.44031528592635544,0,0,0.5533706450415247,1,2,1,0,0,0,0,2,2,0,0,0,1.0366613959942999,0.926593138039505,1
1,2.2710998958306754,1,0,1.613876060463074,1,2,0,0,0,2,0,2,2,2,1,1,0.2846681135798339,1.3353705499395834,0
1,-0.44031528592635544,1,1,1.613876060463074,1,0,0,0,2,2,0,2,2,2,1,0,0.34955248971736536,1.4018875844203655,0
1,-0.44031528592635544,1,0,1.613876060463074,1,2,1,2,2,2,2,2,2,1,1,0,1.7603717452206111,2.811191140422943,1
1,-0.44031528592635544,0,1,-0.46634610055611886,1,0,2,1,1,1,1,1,1,2,0,3,-1.5071388889873785,-0.8336345016916016,0
0,2.2710998958306754,0,0,-0.7110781194995532,1,2,1,0,2,0,0,0,2,0,0,2,0.8303623539159949,-0.3815605473476687,1
1,-0.44031528592635544,0,1,-1.078176147914705,1,2,2,1,1,1,1,1,1,0,0,3,-1.2825391254343852,-0.927286088420081,0
1,-0.44031528592635544,0,0,-1.1597534875625164,1,2,1,0,2,0,0,0,0,0,0,2,0.4510383088042733,-0.8630779096816072,1
0,2.2710998958306754,1,0,1.3691440415196396,1,2,0,0,2,2,0,2,0,1,1,0,0.19815561206312515,1.0758331754018415,0
0,-0.44031528592635544,1,1,0.5533706450415247,1,0,2,1,1,1,1,1,1,2,1,3,-1.5187848026530892,-0.6281683297284852,0
0,-0.44031528592635544,0,0,-0.7518667893234591,1,0,1,0,0,2,0,0,0,0,0,2,0.3478887877651206,-0.557033583763087,1
0,-0.44031528592635544,1,1,0.7573139941610534,0,1,0,2,0,0,2,0,0,2,0,0,-1.0213379189320153,-0.22453636776840785,0
0,-0.44031528592635544,1,1,1.4915100509913568,1,0,2,1,1,1,1,1,1,2,0,0,-1.5038114850828896,-0.39389643374228644,0
0,-0.44031528592635544,1,0,0.7573139941610534,0,1,0,0,2,0,0,2,2,0,1,2,-0.5072540156884978,0.11468951353242636,0
1,-0.44031528592635544,1,1,1.613876060463074,1,0,1,2,0,2,2,2,2,2,1,1,1.3311366415415578,2.316326392988233,0
0,-0.44031528592635544,0,0,-1.2821194970342338,1,0,1,0,0,0,0,0,0,0,1,2,0.1781911886361926,-0.9773332852723983,0
0,-0.44031528592635544,1,0,1.5730873906391682,1,2,2,1,1,1,1,1,1,2,1,1,-1.3524146074286498,-0.24610767713225812,0
1,-0.44031528592635544,0,0,-0.8334441289712705,1,0,2,1,1,1,1,1,1,1,0,1,-1.492165571417179,-0.8908061676916125,0
0,-0.44031528592635544,0,0,0.7165253243371477,1,0,1,0,0,2,2,0,2,2,1,0,0.825371248059262,0.8848138436548817,0
0,-0.44031528592635544,1,1,-0.9965988082668935,1,0,2,1,1,1,1,1,1,2,1,3,-1.4988203792261565,-0.9437559260485457,0
0,2.2710998958306754,0,0,-0.6702894496756475,1,2,0,2,0,0,0,0,0,0,1,2,-0.3591845419387466,-0.6172617349838677,0
0,-0.44031528592635544,0,0,-0.915021468619082,1,2,1,2,0,0,0,2,2,0,1,2,1.124837599463253,-0.5802100975953991,1
0,2.2710998958306754,1,0,-0.3439800910844016,1,2,1,0,0,0,0,2,2,0,1,2,0.9534762983820801,-0.012539432419905601,1
1,-0.44031528592635544,0,0,1.613876060463074,1,2,0,2,2,2,2,0,0,2,0,0,0.15822676520926007,1.1503322540203171,0
0,-0.44031528592635544,0,0,-0.9965988082668935,1,0,2,1,1,1,1,1,1,2,0,3,-1.4655463401812687,-0.937137206253929,0
1,-0.44031528592635544,1,1,-1.2413308272103278,1,0,0,2,2,0,2,0,0,2,0,3,-0.17950473109635212,-0.950836416991624,0
0,2.2710998958306754,0,0,-1.0373874780907992,1,0,0,0,2,2,0,2,0,0,1,2,0.0018387816982869288,-0.7911295669308241,0
1,-0.44031528592635544,0,0,-1.2413308272103278,1,0,1,0,0,2,0,2,2,0,1,2,1.0300065881853222,-0.9212830634900799,1
1,-0.44031528592635544,0,0,-1.2821194970342338,1,2,0,0,0,0,0,0,0,0,1,2,-0.49061699616605386,-0.9861729044000923,0
1,-0.44031528592635544,1,1,1.5730873906391682,1,2,2,1,1,1,1,1,1,2,0,1,-1.3640605210943606,-0.29296645414995937,0
1,-0.44031528592635544,0,0,-1.2005421573864221,1,0,1,0,0,0,0,0,0,0,1,3,0.1565630632570153,-0.9170171776423867,0
0,-0.44031528592635544,0,0,-1.2821194970342338,1,0,2,1,1,1,1,1,1,0,0,3,-1.5237759085098224,-0.9998281369331719,0
0,2.2710998958306754,1,0,0.2270612864502788,1,2,1,2,2,0,0,0,2,1,0,1,1.0017236549971675,0.5711392992355908,0
0,-0.44031528592635544,0,0,0.2270612864502788,1,0,2,1,1,1,1,1,1,1,0,3,-1.492165571417179,-0.7099677903131163,0
0,-0.44031528592635544,0,0,1.5730873906391682,1,2,1,2,2,2,0,2,2,2,1,1,1.3926936137746002,2.194814613635902,0
1,-0.44031528592635544,1,1,1.5730873906391682,1,2,0,2,2,2,2,2,2,2,0,1,0.8320260558682396,1.8315106653081399,0
0,-0.44031528592635544,0,0,-1.2821194970342338,1,0,2,1,1,1,1,1,1,0,0,3,-1.4638826382290244,-0.9990365292500948,0
0,2.2710998958306754,0,0,-1.2005421573864221,1,2,1,0,2,0,0,0,0,0,1,2,0.4826486458969169,-0.9180506654508483,1
0,-0.44031528592635544,1,0,1.3283553716957337,1,0,2,1,1,1,1,1,1,2,0,0,-1.5154573987486004,-0.4277376621938314,0
1,-0.44031528592635544,1,0,1.5730873906391682,1,2,1,2,2,2,2,2,2,2,1,2,1.7087969847010351,2.7583953057821637,0
1,-0.44031528592635544,0,1,-0.38476876090830736,1,0,2,1,1,1,1,1,1,1,0,3,-1.500484081178401,-0.8035314206323649,0
1,-0.44031528592635544,0,0,-0.9558101384429878,1,0,0,2,0,0,2,0,2,0,0,3,0.0018387816982869288,-0.7673153691315888,0
0,2.2710998958306754,0,0,-0.8742327987951762,1,0,1,0,2,0,0,2,2,0,1,2,1.0017236549971675,-0.5155401477084637,1
0,-0.44031528592635544,1,0,-1.2821194970342338,1,0,0,0,0,0,0,2,0,0,1,3,-0.31925569508488133,-0.9839080268623995,0
1,2.2710998958306754,1,0,-1.078176147914705,1,0,1,0,2,0,0,0,2,0,1,2,0.6423640333123787,-0.7799151247538989,1
0,-0.44031528592635544,1,0,-0.09924807214096716,1,2,1,0,0,0,0,0,2,0,1,2,0.6689832645482888,0.14587006060474006,1
0,-0.44031528592635544,0,0,-0.017670732493155674,1,2,1,2,0,2,2,2,2,1,1,0,1.4858609231002862,0.5785056485086691,0
0,-0.44031528592635544,0,0,-0.7110781194995532,1,0,1,2,2,0,0,2,2,0,1,1,1.1381472150812078,-0.3809228633807455,1
1,2.2710998958306754,0,0,-1.1597534875625164,1,0,1,2,0,0,0,0,0,0,0,2,0.3478887877651206,-0.8879915625962272,0
1,-0.44031528592635544,1,1,-0.05845940231706142,1,0,0,0,0,2,2,0,0,0,0,3,-0.35086603217752466,-0.2839069439991885,0
1,-0.44031528592635544,1,0,0.3086386260980903,0,1,0,2,2,2,0,0,0,1,1,2,-0.7501545007161792,-0.25336408089379797,1
0,-0.44031528592635544,1,1,-0.7110781194995532,1,2,2,1,1,1,1,1,1,0,1,2,-1.319140568383762,-0.8345800330908325,0
1,-0.44031528592635544,0,0,-1.2005421573864221,1,2,1,0,2,2,0,2,2,0,0,3,1.4326224606284659,-0.8703123243408394,0
0,2.2710998958306754,1,0,1.5730873906391682,1,0,1,0,2,2,0,0,2,2,0,1,0.81705273829804,1.821879438497369,0
1,-0.44031528592635544,0,0,-1.2821194970342338,1,0,1,0,0,0,0,0,0,0,1,2,0.15822676520926007,-0.9775971545000907,1
1,-0.44031528592635544,0,0,-0.2216140816126844,1,0,0,2,0,2,2,2,2,1,0,2,0.559178935700159,-0.03518820779683302,0
1,-0.44031528592635544,0,0,-0.38476876090830736,1,0,1,0,2,0,0,2,2,0,0,3,1.011705866710634,-0.04382992500375779,0
0,2.2710998958306754,1,0,1.613876060463074,1,2,0,2,2,2,2,0,2,2,0,0,0.4510383088042733,1.4907235577434594,0
1,-0.44031528592635544,0,1,0.10469527697856156,1,0,0,0,0,0,2,2,2,1,1,3,0.23974816086923498,0.08909419844626769,0
0,-0.44031528592635544,1,0,0.3902159657459017,1,2,0,2,2,0,2,0,0,0,1,1,0.05008613831337445,0.19140949148397965,0
1,-0.44031528592635544,0,0,-1.2005421573864221,1,0,1,0,2,0,0,0,2,0,0,2,0.6456914372168673,-0.9048572040662305,0
1,-0.44031528592635544,1,0,-1.2413308272103278,1,0,1,0,0,2,0,0,0,0,0,2,0.38282652876225326,-0.9414690594085452,1
0,-0.44031528592635544,0,0,-0.46634610055611886,1,0,1,0,2,0,2,2,2,0,1,0,1.1398109170334525,-0.14783837891916235,0
0,-0.44031528592635544,0,0,-1.2821194970342338,1,0,2,1,1,1,1,1,1,0,1,3,-1.5137936967963561,-0.9996962023193257,0
0,-0.44031528592635544,1,0,1.5730873906391682,1,2,1,0,2,2,2,2,2,2,0,2,1.47587871138682,2.381480103125938,0
0,2.2710998958306754,0,0,0.6757366545132419,1,2,1,2,0,0,0,2,2,0,0,1,1.2196686107411832,1.2216429128041768,0
0,-0.44031528592635544,0,0,0.1454839468024673,1,2,0,2,0,0,0,0,0,1,0,3,-0.34753862827303583,-0.17550066962224461,0
0,-0.44031528592635544,1,0,1.5730873906391682,1,2,2,1,1,1,1,1,1,2,0,3,-1.365724223046605,-0.27286841464072487,0
0,2.2710998958306754,0,0,-0.26240275143659014,1,0,1,0,0,0,0,2,2,0,1,2,0.8769460085788381,0.026051442130101795,1
1,2.2710998958306754,1,0,-1.0373874780907992,1,2,1,0,0,2,0,2,2,0,1,2,1.143138320937941,-0.7155750114015789,1
0,-0.44031528592635544,1,1,-0.5479234402039304,0,1,0,0,0,0,0,0,0,0,1,3,-1.332450184001717,-0.817010740346983,0
1,-0.44031528592635544,0,0,-1.2413308272103278,1,0,2,1,1,1,1,1,1,0,1,3,-1.5054751870351342,-0.9911644306239393,0
1,-0.44031528592635544,0,0,0.2678499562741845,1,0,1,0,0,2,2,0,0,1,0,2,0.5658337435091366,0.40776026908940566,0
1,-0.44031528592635544,0,0,0.7981026639849592,0,1,0,0,2,0,0,0,0,1,0,3,-1.1577614790160558,-0.29428580028842116,0
0,-0.44031528592635544,1,1,-0.9965988082668935,1,0,2,1,1,1,1,1,1,2,0,3,-1.5104662928918673,-0.9369173152308521,0
0,2.2710998958306754,1,0,-0.30319142126049586,1,0,1,0,2,2,0,2,2,0,1,2,1.1181827916542753,0.0976039810393462,1
1,-0.44031528592635544,1,1,-0.1400367419648729,1,0,2,1,1,1,1,1,1,0,1,3,-1.4722011479902464,-0.7202367010908106,0
1,-0.44031528592635544,1,1,1.0836233527522994,1,0,0,2,2,2,2,2,2,2,1,2,0.7272128328768426,1.2724817173395715,0
1,2.2710998958306754,0,0,1.4099327113435454,1,2,1,2,2,2,2,2,2,2,1,1,1.7038058788443018,2.43959730052518,0
0,-0.44031528592635544,0,0,0.7573139941610534,1,0,2,1,1,1,1,1,1,1,1,0,-1.4988203792261565,-0.5697872631015509,0
1,2.2710998958306754,1,0,1.3691440415196396,1,2,1,0,0,0,2,2,2,0,1,1,1.1697575521738512,2.0139102689504824,1
0,-0.44031528592635544,1,1,1.3691440415196396,1,2,1,0,0,0,0,0,0,1,1,0,0.3112873448157441,1.1287829337587747,0
